Requirement,AC,Test Case,Test Type,Priority,Test File,Production File
FR-001,AC-001-01,TIP-01,positive,P0,test-id-parser.test.js,src/core/validators/lib/test-id-parser.js
FR-001,AC-001-02,TIP-09,positive,P0,test-id-parser.test.js,src/core/validators/lib/test-id-parser.js
FR-001,AC-001-03,TV-01,positive,P0,traceability-validator.test.js,src/core/validators/traceability-validator.js
FR-001,AC-001-03,TV-02,positive,P0,traceability-validator.test.js,src/core/validators/traceability-validator.js
FR-001,AC-001-03,TV-03,positive,P0,traceability-validator.test.js,src/core/validators/traceability-validator.js
FR-001,AC-001-03,TV-04,negative,P0,traceability-validator.test.js,src/core/validators/traceability-validator.js
FR-001,AC-001-03,TV-05,negative,P1,traceability-validator.test.js,src/core/validators/traceability-validator.js
FR-001,AC-001-03,TV-06,negative,P1,traceability-validator.test.js,src/core/validators/traceability-validator.js
FR-001,AC-001-03,TV-12,positive,P2,traceability-validator.test.js,src/core/validators/traceability-validator.js
FR-001,AC-001-03,TV-13,positive,P2,traceability-validator.test.js,src/core/validators/traceability-validator.js
FR-001,AC-001-04,TV-02,positive,P0,traceability-validator.test.js,src/core/validators/traceability-validator.js
FR-001,AC-001-04,TV-14,positive,P1,traceability-validator.test.js,src/core/validators/traceability-validator.js
FR-001,AC-001-05,TV-07,negative,P1,traceability-validator.test.js,src/core/validators/traceability-validator.js
FR-001,AC-001-06,TV-08,positive,P0,traceability-validator.test.js,src/core/validators/traceability-validator.js
FR-001,AC-001-06,TV-09,positive,P0,traceability-validator.test.js,src/core/validators/traceability-validator.js
FR-001,AC-001-06,TV-10,positive,P1,traceability-validator.test.js,src/core/validators/traceability-validator.js
FR-001,AC-001-06,TV-11,positive,P2,traceability-validator.test.js,src/core/validators/traceability-validator.js
FR-002,AC-002-01,TIV-01,positive,P0,test-implementation-validator.test.js,src/core/validators/test-implementation-validator.js
FR-002,AC-002-01,TIV-04,positive,P1,test-implementation-validator.test.js,src/core/validators/test-implementation-validator.js
FR-002,AC-002-01,TIV-18,positive,P0,test-implementation-validator.test.js,src/core/validators/test-implementation-validator.js
FR-002,AC-002-02,TIV-02,negative,P0,test-implementation-validator.test.js,src/core/validators/test-implementation-validator.js
FR-002,AC-002-02,TIV-03,negative,P0,test-implementation-validator.test.js,src/core/validators/test-implementation-validator.js
FR-002,AC-002-03,TIV-05,positive,P0,test-implementation-validator.test.js,src/core/validators/test-implementation-validator.js
FR-002,AC-002-03,TIV-07,positive,P0,test-implementation-validator.test.js,src/core/validators/test-implementation-validator.js
FR-002,AC-002-03,TIV-08,positive,P1,test-implementation-validator.test.js,src/core/validators/test-implementation-validator.js
FR-002,AC-002-03,TIV-09,positive,P1,test-implementation-validator.test.js,src/core/validators/test-implementation-validator.js
FR-002,AC-002-03,TIV-10,positive,P1,test-implementation-validator.test.js,src/core/validators/test-implementation-validator.js
FR-002,AC-002-04,TIV-05,positive,P0,test-implementation-validator.test.js,src/core/validators/test-implementation-validator.js
FR-002,AC-002-04,TIV-06,negative,P0,test-implementation-validator.test.js,src/core/validators/test-implementation-validator.js
FR-002,AC-002-04,TIV-17,negative,P1,test-implementation-validator.test.js,src/core/validators/test-implementation-validator.js
FR-002,AC-002-05,TIV-11,positive,P0,test-implementation-validator.test.js,src/core/validators/test-implementation-validator.js
FR-002,AC-002-05,TIV-13,positive,P0,test-implementation-validator.test.js,src/core/validators/test-implementation-validator.js
FR-002,AC-002-06,TIV-11,positive,P0,test-implementation-validator.test.js,src/core/validators/test-implementation-validator.js
FR-002,AC-002-06,TIV-12,negative,P0,test-implementation-validator.test.js,src/core/validators/test-implementation-validator.js
FR-002,AC-002-06,TIV-18,positive,P0,test-implementation-validator.test.js,src/core/validators/test-implementation-validator.js
FR-002,AC-002-07,TIV-14,positive,P0,test-implementation-validator.test.js,src/core/validators/test-implementation-validator.js
FR-002,AC-002-07,TIV-15,positive,P0,test-implementation-validator.test.js,src/core/validators/test-implementation-validator.js
FR-002,AC-002-07,TIV-16,positive,P1,test-implementation-validator.test.js,src/core/validators/test-implementation-validator.js
FR-003,AC-003-01,TEV-01,positive,P0,test-execution-validator.test.js,src/core/validators/test-execution-validator.js
FR-003,AC-003-01,TEV-10,positive,P1,test-execution-validator.test.js,src/core/validators/test-execution-validator.js
FR-003,AC-003-02,TEV-01,positive,P0,test-execution-validator.test.js,src/core/validators/test-execution-validator.js
FR-003,AC-003-02,TEV-02,positive,P0,test-execution-validator.test.js,src/core/validators/test-execution-validator.js
FR-003,AC-003-02,TEV-06,positive,P0,test-execution-validator.test.js,src/core/validators/test-execution-validator.js
FR-003,AC-003-02,TEV-07,positive,P1,test-execution-validator.test.js,src/core/validators/test-execution-validator.js
FR-003,AC-003-02,TEV-08,positive,P1,test-execution-validator.test.js,src/core/validators/test-execution-validator.js
FR-003,AC-003-02,TEV-09,positive,P1,test-execution-validator.test.js,src/core/validators/test-execution-validator.js
FR-003,AC-003-03,TEV-03,negative,P0,test-execution-validator.test.js,src/core/validators/test-execution-validator.js
FR-003,AC-003-03,TEV-05,negative,P0,test-execution-validator.test.js,src/core/validators/test-execution-validator.js
FR-003,AC-003-03,TEV-12,negative,P1,test-execution-validator.test.js,src/core/validators/test-execution-validator.js
FR-003,AC-003-04,TEV-04,negative,P0,test-execution-validator.test.js,src/core/validators/test-execution-validator.js
FR-003,AC-003-04,TEV-05,negative,P0,test-execution-validator.test.js,src/core/validators/test-execution-validator.js
FR-004,AC-004-01,CPV-01,positive,P0,coverage-presence-validator.test.js,src/core/validators/coverage-presence-validator.js
FR-004,AC-004-01,CPV-03,positive,P1,coverage-presence-validator.test.js,src/core/validators/coverage-presence-validator.js
FR-004,AC-004-01,CPV-09,positive,P1,coverage-presence-validator.test.js,src/core/validators/coverage-presence-validator.js
FR-004,AC-004-02,CPV-04,negative,P0,coverage-presence-validator.test.js,src/core/validators/coverage-presence-validator.js
FR-004,AC-004-02,CPV-05,positive,P0,coverage-presence-validator.test.js,src/core/validators/coverage-presence-validator.js
FR-004,AC-004-02,CPV-10,negative,P1,coverage-presence-validator.test.js,src/core/validators/coverage-presence-validator.js
FR-004,AC-004-03,CPV-02,negative,P0,coverage-presence-validator.test.js,src/core/validators/coverage-presence-validator.js
FR-004,AC-004-04,CPV-06,positive,P0,coverage-presence-validator.test.js,src/core/validators/lib/coverage-patterns.js
FR-004,AC-004-04,CPV-07,positive,P1,coverage-presence-validator.test.js,src/core/validators/lib/coverage-patterns.js
FR-004,AC-004-04,CPV-08,positive,P1,coverage-presence-validator.test.js,src/core/validators/lib/coverage-patterns.js
