FR_ID,AC_ID,User_Story_ID,Confidence,Source
FR-001,AC-001-01,US-001,High,User-confirmed
FR-001,AC-001-02,US-001,High,User-confirmed
FR-001,AC-001-03,US-001,High,User-confirmed
FR-001,AC-001-04,US-003,High,User-confirmed
FR-001,AC-001-05,US-001,High,Inferred
FR-002,AC-002-01,—,Medium,User-mentioned
FR-002,AC-002-02,—,Medium,Inferred
FR-002,AC-002-03,—,Medium,Inferred
FR-003,AC-003-01,US-002,High,User-confirmed
FR-003,AC-003-02,US-002,High,User-confirmed
FR-003,AC-003-03,US-002,High,User-confirmed
FR-003,AC-003-04,US-002,High,Inferred
FR-003,AC-003-05,US-002,High,Inferred
FR-004,AC-004-01,US-005,High,User-confirmed
FR-004,AC-004-02,US-005,High,User-confirmed
FR-004,AC-004-03,US-005,High,User-confirmed
FR-004,AC-004-04,US-005,High,User-confirmed
FR-004,AC-004-05,US-005,High,Inferred
FR-005,AC-005-01,US-007,High,User-confirmed
FR-005,AC-005-02,US-007,High,User-confirmed
FR-005,AC-005-03,US-007,High,User-confirmed
FR-005,AC-005-04,US-007,High,Inferred
FR-005,AC-005-05,US-007,Medium,Inferred
FR-006,AC-006-01,US-003,High,User-confirmed
FR-006,AC-006-02,US-003,High,User-confirmed
FR-006,AC-006-03,US-003,High,Inferred
FR-006,AC-006-04,US-004,High,Inferred
FR-007,AC-007-01,US-004,High,User-confirmed
FR-007,AC-007-02,US-004,High,User-confirmed
FR-007,AC-007-03,US-004,High,Inferred
FR-007,AC-007-04,US-004,High,Inferred
FR-008,AC-008-01,US-006,High,User-confirmed
FR-008,AC-008-02,US-006,High,User-confirmed
FR-008,AC-008-03,US-006,High,Inferred
FR-008,AC-008-04,US-006,Medium,Inferred
FR-009,AC-009-01,US-004,High,User-confirmed
FR-009,AC-009-02,US-004,High,Inferred
FR-009,AC-009-03,US-004,High,Inferred
FR-009,AC-009-04,US-004,High,Inferred
FR-010,AC-010-01,US-003,High,User-confirmed
FR-010,AC-010-02,US-003,High,Inferred
FR-010,AC-010-03,US-003,High,Inferred
FR-010,AC-010-04,US-003,High,Inferred
FR-011,AC-011-01,US-006,High,User-confirmed
FR-011,AC-011-02,US-006,High,User-confirmed
FR-011,AC-011-03,US-006,High,User-confirmed
FR-011,AC-011-04,US-006,High,User-confirmed
FR-011,AC-011-05,US-006,High,User-confirmed
FR-012,AC-012-01,US-008,High,Inferred
FR-012,AC-012-02,US-008,High,Inferred
FR-012,AC-012-03,US-008,High,Inferred
FR-012,AC-012-04,US-008,Medium,Inferred
FR-012,AC-012-05,US-008,High,Inferred
FR-013,AC-013-01,US-005,High,User-confirmed
FR-013,AC-013-02,US-005,High,User-confirmed
FR-013,AC-013-03,US-005,High,Inferred
FR-013,AC-013-04,US-005,High,Inferred
FR-014,AC-014-01,US-001,High,User-confirmed
FR-014,AC-014-02,US-001,High,User-confirmed
FR-014,AC-014-03,US-001,High,User-confirmed
FR-014,AC-014-04,US-001,High,User-confirmed
FR-014,AC-014-05,US-001,High,User-confirmed
FR-015,AC-015-01,US-009,High,User-confirmed
FR-015,AC-015-02,US-009,High,User-confirmed
FR-015,AC-015-03,US-009,High,User-confirmed
FR-015,AC-015-04,US-009,High,User-confirmed
FR-015,AC-015-05,US-009,High,Inferred
FR-015,AC-015-06,US-009,High,Inferred
FR-015,AC-015-07,US-009,High,Inferred
FR-015,AC-015-08,US-009,High,Inferred
FR-016,AC-016-01,US-010,High,User-confirmed
FR-016,AC-016-02,US-010,High,User-confirmed
FR-016,AC-016-03,US-010,High,User-confirmed
FR-016,AC-016-04,US-010,High,User-confirmed
FR-016,AC-016-05,US-010,High,Inferred
FR-016,AC-016-06,US-010,High,Inferred
FR-016,AC-016-07,US-010,High,Inferred
FR-016,AC-016-08,US-010,High,Inferred
