FR_ID,AC_ID,User_Story_ID,Confidence,Source
FR-001,AC-001-01,US-001,High,user-confirmed
FR-001,AC-001-02,US-001,High,user-confirmed
FR-002,AC-002-01,US-002,High,user-confirmed
FR-002,AC-002-02,US-002,High,user-confirmed
FR-003,AC-003-01,US-003,High,user-confirmed
FR-003,AC-003-02,US-003,High,user-confirmed
FR-004,AC-004-01,US-004,High,inferred-from-refactor-mechanics
FR-004,AC-004-02,US-004,High,inferred-from-refactor-mechanics
FR-004,AC-004-03,US-004,High,user-confirmed
FR-005,AC-005-01,US-005,High,user-confirmed
FR-005,AC-005-02,US-005,High,inferred-from-knob-semantics
FR-006,AC-006-01,US-006,High,existing-behavior-preserved
FR-006,AC-006-02,US-006,High,inferred-from-knob-semantics
FR-007,AC-007-01,US-007,High,existing-behavior-preserved
FR-007,AC-007-02,US-007,High,inferred-from-knob-semantics
FR-008,AC-008-01,US-008,High,user-confirmed
FR-008,AC-008-02,US-008,High,user-confirmed
FR-008,AC-008-03,US-008,High,inferred-from-kill-switch-precedence
FR-009,AC-009-01,US-009,High,inferred-from-article-viii
FR-009,AC-009-02,US-009,High,inferred-from-refactor-cleanup
